"","position","player","team","age","total_value","avg_year","total_guaranteed","fully_guaranteed","agency_time","type"
"3099","linebacker","Curtis Bolton","Packers",24,1762000,587333,7000,7000,2022,"RFA"
"3100","linebacker","Randy Ramsey","Packers",24,1762000,587333,7000,7000,2022,"RFA"
"3101","tight-end","Matt Kaskey","Rams",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3102","tight-end","Chris Myarick","Dolphins",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3103","tight-end","Rico Gathers","Cowboys",25,1715000,571667,50000,50000,2020,"RFA"
"3104","tight-end","Matt Flanagan","Redskins",24,1710000,570000,0,0,2021,"RFA"
"3105","tight-end","Lance Lenoir","Cowboys",24,1710000,570000,0,0,2021,"ERFA"
"3106","tight-end","Robert Tonyan","Packers",25,570000,570000,0,0,2020,"ERFA"
"3107","tight-end","Blake Jarwin","Cowboys",25,1691600,563867,26600,26600,2020,"RFA"
"3108","linebacker","Joel Iyiegbuniwe","Bears",24,3138576,784644,678576,678576,2022,"UFA"
"3109","linebacker","Kyzir White","Chargers",23,3114440,778610,654440,654440,2022,"UFA"
"3110","linebacker","Kenny Young","Ravens",25,3099900,774975,639900,639900,2022,"UFA"
"3111","linebacker","Nick Vigil","Bengals",26,3035628,758907,695628,695628,2020,"UFA"
"3112","linebacker","Ben Gedeon","Vikings",25,3032528,758132,632528,632528,2021,"UFA"
"3113","linebacker","Marquis Flowers","Redskins",27,1510000,755000,0,0,2020,"UFA"
"3114","linebacker","Jalen Reeves-Maybin","Lions",24,3013092,753273,613092,613092,2021,"UFA"
"3115","linebacker","Joe Schobert","Browns",26,2973956,743489,633956,633956,2020,"UFA"
"3116","defensive-back","Cody Davis","Jaguars",30,5000000,2500000,2500000,2500000,2020,"UFA"
"3117","defensive-back","Mike Hughes","Vikings",22,9867484,2466871,8689994,8689994,2022,"UFA"
"3118","defensive-back","William Jackson III","Bengals",27,9705642,2426411,8712145,8712145,2021,"UFA"
"3119","defensive-back","Jarrod Wilson","Jaguars",25,7250000,2416667,1450000,1450000,2022,"UFA"
"3120","defensive-back","Artie Burns","Steelers",24,9590984,2397746,7833122,7833122,2020,"UFA"
"3121","defensive-back","Marcus Peters","Rams",26,9584160,2396040,9584160,9584160,2020,"UFA"
"3122","offensive-line","Quinton Spain","Bills",28,2050000,2050000,200000,200000,2020,"UFA"
"3123","offensive-line","Rashod Hill","Vikings",27,2025000,2025000,0,0,2020,"UFA"
"3124","offensive-line","Evan Boehm","Colts",26,2025000,2025000,0,0,2020,"UFA"
"3125","offensive-line","Max Garcia","Cardinals",28,2000000,2000000,400000,400000,2020,"UFA"
"3126","offensive-line","LaAdrian Waddle","Bills",28,2000000,2000000,400000,400000,2020,"UFA"
"3127","offensive-line","Jawaan Taylor","Jaguars",22,7843422,1960856,5722577,5722577,2023,"UFA"
"3128","edge-rusher","Mathieu Betts","Bears",24,1765000,588333,22000,22000,2022,"RFA"
"3129","edge-rusher","Derick Roberson","Titans",24,1765000,588333,25000,25000,2022,"RFA"
"3130","edge-rusher","Jamell Garcia-Williams","49ers",26.0725216234198,1765000,588333,90000,90000,2022,"RFA"
"3131","edge-rusher","Corbin Kaufusi","Saints",26,1758000,586000,6000,6000,2022,"RFA"
"3132","edge-rusher","Ronald Ollie","Raiders",23,1757500,585833,2500,2500,2022,"RFA"
"3133","edge-rusher","Tim Ward","Chiefs",22,1757500,585833,2500,2500,2022,"RFA"
"3134","edge-rusher","Ahmad Gooden","Broncos",24,1757000,585667,2000,2000,2022,"RFA"
"3135","interior-defensive-line","Terry Beckner Jr.","Buccaneers",26.0725216234198,2632316,658079,112316,112316,2023,"UFA"
"3136","interior-defensive-line","P.J. Johnson","Lions",26.0725216234198,2616512,654128,96512,96512,2023,"UFA"
"3137","interior-defensive-line","Sebastian Joseph","Rams",24,2615236,653809,155236,155236,2022,"UFA"
"3138","interior-defensive-line","Dontavius Russell","Jaguars",24,2603504,650876,83504,83504,2023,"UFA"
"3139","interior-defensive-line","Davon Godchaux","Dolphins",25,2601948,650487,201948,201948,2021,"UFA"
"3140","interior-defensive-line","Cortez Broughton","Chargers",26.0725216234198,2598320,649580,78320,78320,2023,"UFA"
"3141","linebacker","Cole Holcomb","Redskins",26.0725216234198,2754884,688721,234884,234884,2023,"UFA"
"3142","linebacker","Genard Avery","Browns",24,2748948,687237,288948,288948,2022,"UFA"
"3143","linebacker","Ogbonnia Okoronkwo","Rams",24,2734536,683634,274536,274536,2022,"UFA"
"3144","linebacker","Jermaine Carter, Jr.","Panthers",24,2733376,683344,273376,273376,2022,"UFA"
"3145","linebacker","Sutton Smith","Steelers",26.0725216234198,2723292,680823,203292,203292,2023,"UFA"
"3146","defensive-line","Harrison Phillips","Bills",23,3235040,808760,775040,775040,2022,"UFA"
"3147","defensive-line","Nate Orchard","Dolphins",26,805000,805000,0,0,2020,"UFA"
"3148","defensive-line","Renell Wren","Bengals",26.0725216234198,3202596,800649,682596,682596,2023,"UFA"
"3149","defensive-line","Jalyn Holmes","Vikings",23,3191396,797849,731396,731396,2022,"UFA"
"3150","defensive-line","Marcus Smith","Redskins",27,1595000,797500,0,0,2020,"UFA"
"3151","defensive-line","Trey Hendrickson","Saints",25,3175788,793947,706288,706288,2021,"UFA"
"3152","defensive-line","Nazair Jones","Seahawks",25,3175663,793916,706288,706288,2021,"UFA"
"3153","defensive-line","Greg Gaines","Rams",26.0725216234198,3146608,786652,0,0,2020,"ERFA"
"3154","wide-receiver","Jalen Hurd","49ers",26.0725216234198,4279682,1069921,1132492,1132492,2023,"UFA"
"3155","wide-receiver","Tyler Boyd","Bengals",25,4258972,1064743,0,0,2020,"UFA"
"3156","wide-receiver","JuJu Smith-Schuster","Steelers",23,4195778,1048945,1984476,1984476,2021,"UFA"
"3157","wide-receiver","JJ Nelson","Raiders",27,1000000,1000000,75000,75000,2020,"UFA"
"3158","wide-receiver","Ryan Grant","Raiders",29,1000000,1000000,100000,100000,2020,"UFA"
"3159","wide-receiver","Maurice Harris","Patriots",27,1000000,1000000,90000,90000,2020,"UFA"
"3160","wide-receiver","Cooper Kupp","Rams",26,3832093,958023,954760,954760,2021,"UFA"
"3161","wide-receiver","Deonte Thompson","Jets",30,930000,930000,0,0,2020,"UFA"
"3162","cornerback","Briean Boddy-Calhoun","Texans",26,900000,900000,0,0,2020,"UFA"
"3163","cornerback","Blidi Wreh-Wilson","Falcons",30,895000,895000,90000,90000,2020,"UFA"
"3164","cornerback","Phillip Gaines","Browns",28,895000,895000,45000,45000,2020,"UFA"
"3165","cornerback","Marcus Cooper","Lions",29,895000,895000,240000,240000,2020,"UFA"
"3166","cornerback","David Long","Rams",26.0725216234198,3505248,876312,0,0,2020,"ERFA"
"3167","4-3-outside-linebacker","Anthony Pittman","Lions",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3168","4-3-outside-linebacker","Sterling Sheffield","Bengals",23,1755000,585000,0,0,2022,"RFA"
"3169","4-3-outside-linebacker","Josh Corcoran","Chargers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3170","4-3-outside-linebacker","Elijah Zeise","Chargers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3171","4-3-outside-linebacker","Joey Alfieri","Eagles",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3172","4-3-outside-linebacker","Darius Harris","Chiefs",23,1755000,585000,0,0,2022,"RFA"
"3173","safety","Jordan Whitehead","Buccaneers",22,3127256,781814,667256,667256,2022,"UFA"
"3174","safety","Armani Watts","Chiefs",23,3121232,780308,632232,632232,2022,"UFA"
"3175","safety","DeAndre Houston-Carson","Bears",26,770000,770000,25000,25000,2020,"UFA"
"3176","safety","Tedric Thompson","Seahawks",24,3072012,768003,672012,672012,2021,"UFA"
"3177","safety","Eddie Jackson","Bears",26,3065808,766452,665808,665808,2021,"UFA"
"3178","safety","Rayshawn Jenkins","Chargers",25,3062212,765553,662212,662212,2021,"UFA"
"3179","safety","Justin Simmons","Broncos",26,3027420,756855,645420,645420,2020,"UFA"
"3180","quarterback","Kyle Shurmur","Chiefs",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3181","quarterback","Tim Boyle","Packers",25,1716000,572000,6000,6000,2021,"RFA"
"3182","quarterback","Chad Kelly","Colts",25,570000,570000,0,0,2020,"ERFA"
"3183","quarterback","Cooper Rush","Cowboys",26,1670000,556667,5000,5000,2020,"RFA"
"3184","quarterback","Taysom Hill","Saints",29,1670000,556667,5000,5000,2020,"RFA"
"3185","quarterback","Kyle Sloter","Vikings",25,1665000,555000,0,0,2020,"RFA"
"3186","running-back","Travis Homer","Seahawks",26.0725216234198,2663360,665840,143360,143360,2023,"UFA"
"3187","running-back","John Kelly","Rams",23,2648292,662073,188292,188292,2022,"UFA"
"3188","running-back","Rodney Anderson","Bengals",26.0725216234198,2647840,661960,127840,127840,2023,"UFA"
"3189","running-back","Mike Weber","Cowboys",26.0725216234198,2628804,657201,108804,108804,2023,"UFA"
"3190","running-back","Kerrith Whyte Jr.","Bears",26.0725216234198,2621468,655367,101468,101468,2023,"UFA"
"3191","running-back","Marcus Murphy","Bills",28,1965000,655000,0,0,2020,"UFA"
"3192","linebacker","EJ Ejiya","Ravens",24,1760000,586667,5000,5000,2022,"RFA"
"3193","linebacker","Silas Stewart","Ravens",24,1760000,586667,15000,15000,2022,"RFA"
"3194","linebacker","Nate Hall","Cowboys",26.0725216234198,1760000,586667,5000,5000,2022,"RFA"
"3195","linebacker","Justin Phillips","Cowboys",26.0725216234198,1760000,586667,5000,5000,2022,"RFA"
"3196","linebacker","Del¡¯Shawn Phillips","Falcons",26.0725216234198,1758500,586167,3500,3500,2022,"RFA"
"3197","linebacker","Tre Lamar","Lions",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3198","linebacker","Jeff Allison","Jets",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3199","tight-end","Jason Vander Laan","Panthers",27,1125000,562500,0,0,2020,"ERFA"
"3200","tight-end","Antony Auclair","Buccaneers",26,1685000,561667,81200,81200,2020,"RFA"
"3201","tight-end","Sean Culkin","Chargers",26,1677000,559000,12000,12000,2020,"RFA"
"3202","tight-end","Jacob Hollister","Seahawks",26,1675000,558333,90000,90000,2020,"RFA"
"3203","tight-end","Cethan Carter","Bengals",26,1671000,557000,6000,6000,2020,"RFA"
"3204","tight-end","Andrew Vollert","Chargers",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"3205","tight-end","Codey McElroy","Cowboys",27,1080000,540000,0,0,2021,"ERFA"
"3206","tight-end","Pharoah McKever","Jaguars",25,1080000,540000,0,0,2021,"ERFA"
"3207","linebacker","Tyrell Adams","Texans",27,2230000,743333,0,0,2021,"UFA"
"3208","linebacker","B.J. Goodson","Giants",26,2922208,730552,582208,582208,2020,"UFA"
"3209","linebacker","Nick Kwiatkoski","Bears",26,2915120,728780,575120,575120,2020,"UFA"
"3210","linebacker","Marquis Haynes","Panthers",26,2912356,728089,452356,452356,2022,"UFA"
"3211","linebacker","De¡¯Vondre Campbell","Falcons",26,2905528,726382,565528,565528,2020,"UFA"
"3212","linebacker","Justin March-Lillard","Cowboys",26,720000,720000,0,0,2020,"UFA"
"3213","defensive-back","Chris Banjo","Saints",29,6900000,2300000,2650000,2650000,2022,"UFA"
"3214","defensive-back","PJ Williams","Saints",26,2250000,2250000,2250000,2250000,2020,"UFA"
"3215","defensive-back","Byron Jones","Cowboys",27,8601938,2150485,6993947,6993947,2020,"UFA"
"3216","defensive-back","Rashaan Melvin","Lions",30,2150000,2150000,700000,700000,2020,"UFA"
"3217","defensive-back","EJ Gaines","Bills",27,2100000,2100000,250000,250000,2020,"UFA"
"3218","defensive-back","Jordan Lucas","Chiefs",26,2025000,2025000,0,0,2020,"UFA"
"3219","offensive-line","Greg Little","Panthers",26.0725216234198,7638928,1909732,0,0,2020,"ERFA"
"3220","offensive-line","Austin Corbett","Browns",24,7518394,1879599,5678642,5678642,2022,"UFA"
"3221","offensive-line","Cody Ford","Bills",26.0725216234198,7507470,1876868,4811225,4811225,2023,"UFA"
"3222","offensive-line","Eric Kush","Browns",30,3750000,1875000,700000,700000,2021,"UFA"
"3223","offensive-line","Will Hernandez","Giants",24,7450740,1862685,5568294,5568294,2022,"UFA"
"3224","offensive-line","Denzelle Good","Raiders",28,1800000,1800000,500000,500000,2020,"UFA"
"3225","offensive-line","Braden Smith","Colts",23,7193688,1798422,4598758,4598758,2022,"UFA"
"3226","offensive-line","Dalton Risner","Broncos",26.0725216234198,7142282,1785571,0,0,2020,"ERFA"
"3227","edge-rusher","Stacy Keely","Vikings",24,1755000,585000,0,0,2022,"RFA"
"3228","edge-rusher","Stephen Weatherly","Vikings",25,2340000,585000,0,0,2020,"UFA"
"3229","edge-rusher","Tuzar Skipper","Steelers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3230","edge-rusher","Carl Granderson","Saints",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3231","edge-rusher","Dare Odeyingbo","Buccaneers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3232","interior-defensive-line","Chris Slayton","Giants",26.0725216234198,2595572,648893,75572,75572,2023,"UFA"
"3233","interior-defensive-line","Michael Dogbe","Cardinals",26.0725216234198,2594576,648645,74576,74576,2023,"UFA"
"3234","interior-defensive-line","Isaac Rochell","Chargers",24,645000,645000,0,0,2020,"RFA"
"3235","interior-defensive-line","Justin Hamilton","Chiefs",26,645000,645000,0,0,2020,"RFA"
"3236","interior-defensive-line","Bronson Kaufusi","Jets",28,645000,645000,0,0,2020,"RFA"
"3237","linebacker","David Long Jr.","Titans",23,2690372,672593,170372,170372,2023,"UFA"
"3238","linebacker","Emeke Egbule","Chargers",26.0725216234198,2676956,669239,156956,156956,2023,"UFA"
"3239","linebacker","Jayon Brown","Titans",24,2671564,667891,271564,271564,2021,"UFA"
"3240","linebacker","Anthony Walker Jr.","Colts",24,2665428,666357,265428,265428,2021,"UFA"
"3241","defensive-line","Da¡¯Shawn Hand","Lions",24,3141964,785491,681964,681964,2022,"UFA"
"3242","defensive-line","Dorance Armstrong Jr.","Cowboys",22,3129992,782498,669992,669992,2022,"UFA"
"3243","defensive-line","Javon Hargrave","Steelers",26,3114256,778564,693256,693256,2020,"UFA"
"3244","defensive-line","Jaleel Johnson","Vikings",25,3078360,769590,678360,678360,2021,"UFA"
"3245","defensive-line","Kentavius Street","49ers",22,3070200,767550,610200,610200,2022,"RFA"
"3246","defensive-line","Josh Sweat","Eagles",22,3057592,764398,597592,597592,2022,"UFA"
"3247","defensive-line","Carl Lawson","Bengals",24,3052620,763155,652620,652620,2021,"UFA"
"3248","defensive-line","David Parry","Patriots",27,760000,760000,0,0,2020,"UFA"
"3249","wide-receiver","Michael Floyd","Ravens",30,930000,930000,0,0,2020,"UFA"
"3250","wide-receiver","Terrelle Pryor","Jaguars",30,930000,930000,0,0,2020,"UFA"
"3251","wide-receiver","Brian Quick","Redskins",30,930000,930000,0,0,2020,"UFA"
"3252","wide-receiver","Taywan Taylor","Titans",24,3681012,920253,916012,916012,2021,"UFA"
"3253","wide-receiver","Tommylee Lewis","Lions",27,920000,920000,50000,50000,2020,"UFA"
"3254","wide-receiver","Geremy Davis","Chargers",27,895000,895000,25000,25000,2020,"UFA"
"3255","wide-receiver","Bennie Fowler","Giants",28,895000,895000,65000,65000,2020,"UFA"
"3256","wide-receiver","Justin Hardy","Falcons",28,895000,895000,90000,90000,2020,"UFA"
"3257","cornerback","Jamel Dean","Buccaneers",26.0725216234198,3376928,844232,0,0,2020,"ERFA"
"3258","cornerback","Tarvarius Moore","49ers",23,3351372,837843,784372,784372,2022,"UFA"
"3259","cornerback","Fabian Moreau","Redskins",25,3339392,834848,825392,825392,2021,"UFA"
"3260","cornerback","Isaac Yiadom","Broncos",23,3323266,830817,761516,761516,2022,"UFA"
"3261","cornerback","Julian Love","Giants",21,3290860,822715,770860,770860,2023,"UFA"
"3262","cornerback","Keith Reaser","Chiefs",28,820000,820000,75000,50000,2020,"RFA"
"3263","4-3-outside-linebacker","DeMarquis Gates","Redskins",23,1755000,585000,0,0,2022,"RFA"
"3264","4-3-outside-linebacker","Terrill Hanks","Dolphins",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3265","4-3-outside-linebacker","Joe Giles-Harris","Jaguars",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3266","4-3-outside-linebacker","Dennis Gardeck","Cardinals",25,1716000,572000,6000,6000,2021,"RFA"
"3267","4-3-outside-linebacker","Corey Thompson","Bills",26,1710000,570000,0,0,2021,"RFA"
"3268","4-3-outside-linebacker","Jermaine Grace","Falcons",26,570000,570000,0,0,2020,"ERFA"
"3269","4-3-outside-linebacker","Antwione Williams","Panthers",26,570000,570000,0,0,2020,"ERFA"
"3270","safety","Montae Nicholson","Redskins",24,3018892,754723,618892,618892,2021,"RFA"
"3271","safety","Eric Murray","Browns",25,2967304,741826,599804,599804,2020,"UFA"
"3272","safety","Miles Killebrew","Lions",26,2918564,729641,578564,578564,2020,"UFA"
"3273","safety","Derron Smith","Vikings",27,725000,725000,5000,2500,2020,"UFA"
"3274","safety","Isaiah Johnson","Colts",27,720000,720000,0,0,2020,"RFA"
"3275","safety","Darian Thompson","Cowboys",26,720000,720000,0,0,2020,"UFA"
"3276","safety","Andrew Adams","Lions",27,720000,720000,0,0,2020,"UFA"
"3277","safety","Deionte Thompson","Cardinals",26.0725216234198,2870168,717542,350168,350168,2023,"UFA"
"3278","quarterback","Logan Woodside","Titans",24,1080000,540000,0,0,2021,"ERFA"
"3279","quarterback","Phillip Walker","Colts",24,1080000,540000,0,0,2021,"ERFA"
"3280","quarterback","J.T. Barrett","Saints",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"3281","quarterback","Kurt Benkert","Falcons",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"3282","quarterback","Nick Mullens","49ers",24,1050000,525000,0,0,2020,"ERFA"
"3283","quarterback","Chase Litton","Chiefs",26.0725216234198,495000,495000,0,0,2020,"ERFA"
"3284","running-back","DeAndre Washington","Raiders",26,2609196,652299,269196,269196,2020,"UFA"
"3285","running-back","Myles Gaskin","Dolphins",26.0725216234198,2607108,651777,87108,87108,2023,"UFA"
"3286","running-back","T.J. Logan","Cardinals",25,2601948,650487,201948,201948,2021,"UFA"
"3287","running-back","Aaron Jones","Packers",25,2601948,650487,201948,201948,2021,"UFA"
"3288","running-back","Trenton Cannon","Jets",25,2599228,649807,139228,139228,2022,"UFA"
"3289","running-back","Paul Perkins","Giants",25,2592548,648137,252548,252548,2020,"RFA"
"3290","linebacker","Jamey Mosley","Jets",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3291","linebacker","David Kenney","Buccaneers",24,1755000,585000,0,0,2022,"RFA"
"3292","linebacker","Porter Gustin","Saints",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3293","linebacker","Noah Dawkins","Bengals",22,1755000,585000,0,0,2022,"RFA"
"3294","linebacker","T.J. Edwards","Eagles",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3295","linebacker","Jameer Thurman","Bears",24,1755000,585000,0,0,2022,"RFA"
"3296","linebacker","Gary Johnson","Chiefs",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3297","tight-end","Keith Towbridge","Titans",24,1080000,540000,0,0,2021,"RFA"
"3298","tight-end","Billy Brown","Colts",26,1080000,540000,0,0,2021,"ERFA"
"3299","tight-end","Nate Wozniak","Saints",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"3300","tight-end","Jaeden Graham","Falcons",24,1080000,540000,0,0,2021,"ERFA"
"3301","tight-end","Alex Gray","Falcons",28,1080000,540000,0,0,2021,"ERFA"
"3302","tight-end","Jason Croom","Bills",25,1054000,527000,0,0,2020,"ERFA"
"3303","tight-end","Ross Dwelley","49ers",24,1050000,525000,0,0,2020,"ERFA"
"3304","tight-end","Mo Alie-Cox","Colts",26,1050000,525000,0,0,2020,"ERFA"
"3305","linebacker","Shilique Calhoun","Patriots",27,720000,720000,0,0,2020,"UFA"
"3306","linebacker","Jonathan Anderson","Giants",28,720000,720000,0,0,2020,"UFA"
"3307","linebacker","Ben Burr-Kirven","Seahawks",26.0725216234198,2862920,715730,342920,342920,2023,"UFA"
"3308","linebacker","Ryan Connelly","Giants",26.0725216234198,2856176,714044,336176,336176,2023,"UFA"
"3309","linebacker","Vosean Joseph","Bills",26.0725216234198,2842520,710630,322520,322520,2023,"UFA"
"3310","linebacker","Dre Greenlaw","49ers",26.0725216234198,2841712,710428,321716,321716,2023,"UFA"
"3311","defensive-back","Ken Crawley","Saints",26,2025000,2025000,0,0,2020,"UFA"
"3312","defensive-back","Matthias Farley","Colts",27,2025000,2025000,0,0,2020,"UFA"
"3313","defensive-back","Trevor Williams","Chargers",26,2025000,2025000,0,0,2020,"UFA"
"3314","defensive-back","Troy Hill","Rams",28,2025000,2025000,0,0,2020,"UFA"
"3315","defensive-back","Adrian Phillips","Chargers",27,2000000,2000000,1250000,1250000,2020,"UFA"
"3316","defensive-back","Bashaud Breeland","Chiefs",27,2000000,2000000,1150000,1150000,2020,"UFA"
"3317","defensive-back","Justin Bethel","Ravens",29,4000000,2000000,1000000,1000000,2021,"UFA"
"3318","offensive-line","Cam Robinson","Jaguars",24,7018128,1754532,5173098,5173098,2021,"UFA"
"3319","offensive-line","James Daniels","Bears",22,6950156,1737539,3930576,3930576,2022,"UFA"
"3320","offensive-line","Elgton Jenkins","Packers",26.0725216234198,6782618,1695655,4251113,4251113,2023,"UFA"
"3321","offensive-line","Forrest Lamp","Chargers",25,6686906,1671727,4221701,4221701,2021,"UFA"
"3322","offensive-line","Kevin Pamphile","Titans",29,1600000,1600000,350000,350000,2020,"UFA"
"3323","offensive-line","Tom Compton","Jets",30,1600000,1600000,400000,400000,2020,"UFA"
"3324","offensive-line","Dennis Kelly","Titans",29,3050000,1525000,550000,400000,2020,"UFA"
"3325","offensive-line","Erik McCoy","Saints",26.0725216234198,6090582,1522646,3716357,3716357,2023,"UFA"
"3326","edge-rusher","Ketner Kupp","Rams",23,1755000,585000,0,0,2022,"RFA"
"3327","edge-rusher","Greg Roberts","Packers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3328","edge-rusher","Andrew Ankrah","Redskins",24,1755000,585000,0,0,2022,"RFA"
"3329","edge-rusher","Chris Peace","Chargers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3330","edge-rusher","Dewayne Hendrix","Dolphins",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3331","edge-rusher","Jonathan Ledbetter","Dolphins",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"3332","edge-rusher","Tre Thomas","Colts",24,1755000,585000,0,0,2022,"RFA"
"3333","edge-rusher","Olasunkanmi Adeniyi","Steelers",22,1725000,575000,15000,15000,2021,"RFA"
"3334","interior-defensive-line","Trevon Coley","Browns",25,645000,645000,0,0,2020,"RFA"
"3335","interior-defensive-line","Josh Tupou","Bengals",25,645000,645000,0,0,2020,"RFA"
"3336","interior-defensive-line","Michael Bennett","Falcons",26,645000,645000,0,0,2020,"UFA"
"3337","interior-defensive-line","Daniel Ross","Cowboys",26,645000,645000,0,0,2020,"RFA"
"3338","interior-defensive-line","Roy Robertson-Harris","Bears",26,645000,645000,0,0,2020,"RFA"
"3339","linebacker","Matt Milano","Bills",25,2661516,665379,261516,261516,2021,"UFA"
"3340","linebacker","Marquel Lee","Raiders",24,2653428,663426,253704,253704,2021,"UFA"
"3341","linebacker","Deshaun Davis","Bengals",26.0725216234198,2647840,661960,127840,127840,2023,"UFA"
"3342","linebacker","Ulysees Gilbert III","Steelers",26.0725216234198,2647832,661958,0,0,2020,"ERFA"
"3343","linebacker","Christian Sam","Patriots",23,2641496,660374,181496,181496,2022,"UFA"
"3344","linebacker","Kylie Fitts","Bears",25,2631900,657975,171900,171900,2022,"UFA"
"3345","linebacker","Jacob Martin","Seahawks",24,2622040,655510,162040,162040,2022,"UFA"
"3346","linebacker","Ty Summers","Packers",26.0725216234198,2617904,654476,97904,97904,2023,"UFA"
"3347","defensive-line","T.Y. McGill","Chargers",27,1510000,755000,0,0,2020,"UFA"
"3348","defensive-line","John Cominsky","Falcons",26.0725216234198,3008392,752098,488392,488392,2023,"UFA"
"3349","defensive-line","Shareef Miller","Eagles",26.0725216234198,3008392,752098,488392,488392,2023,"UFA"
"3350","defensive-line","Deatrich Wise","Patriots",25,2980560,745140,580560,580560,2021,"UFA"
"3351","defensive-line","Sheldon Day","49ers",25,2948412,737132,608412,608412,2020,"UFA"
"3352","defensive-line","Randy Gregory","Cowboys",27,735000,735000,310000,310000,2021,"UFA"
"3353","defensive-line","Ra¡¯Shede Hageman","Falcons",29,735000,735000,15000,15000,2020,"UFA"
"3354","wide-receiver","Terry McLaurin","Redskins",26.0725216234198,3526524,881631,0,0,2020,"ERFA"
"3355","wide-receiver","Michael Gallup","Cowboys",23,3523980,880995,889980,889980,2022,"UFA"
"3356","wide-receiver","Tre¡¯Quan Smith","Saints",23,3420524,855131,817024,817024,2022,"UFA"
"3357","wide-receiver","Miles Boykin","Ravens",26.0725216234198,3387004,846751,0,0,2020,"ERFA"
"3358","wide-receiver","Hakeem Butler","Cardinals",26.0725216234198,3327576,831894,807576,807576,2023,"UFA"
"3359","cornerback","Kendall Sheffield","Falcons",26.0725216234198,3279688,819922,759688,759688,2023,"UFA"
"3360","cornerback","Shaquill Griffin","Seahawks",24,3258620,814655,758620,758620,2021,"UFA"
"3361","cornerback","Jourdan Lewis","Cowboys",24,3248428,812107,753428,753428,2021,"UFA"
"3362","cornerback","Brittan Golden","Giants",31,805000,805000,0,0,2020,"UFA"
"3363","cornerback","Dontae Johnson","49ers",28,805000,805000,0,0,2020,"UFA"
"3364","4-3-outside-linebacker","Emmanuel Ellerbee","Seahawks",23,570000,570000,0,0,2020,"ERFA"
"3365","4-3-outside-linebacker","Steve Longa","Lions",25,570000,570000,0,0,2020,"RFA"
"3366","4-3-outside-linebacker","Eric Wilson","Vikings",25,1675000,558333,20000,20000,2020,"RFA"
"3367","4-3-outside-linebacker","Alex Singleton","Eagles",26,1080000,540000,0,0,2021,"ERFA"
"3368","4-3-outside-linebacker","Emmanuel Smith","Buccaneers",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"3369","4-3-outside-linebacker","Christian Kuntz","Jaguars",25,1080000,540000,0,0,2021,"ERFA"
"3370","4-3-outside-linebacker","Kyle Queiro","Cowboys",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"3371","safety","Deon Bush","Bears",26,2866216,716554,526216,526216,2020,"UFA"
"3372","safety","Deiondre¡¯ Hall","Eagles",25,2850892,712723,510892,510892,2020,"UFA"
"3373","safety","Marvell Tell III","Colts",23,2848164,712041,328164,328164,2023,"UFA"
"3374","safety","Derrick Kindred","Colts",26,2839356,709839,499356,499356,2020,"UFA"
"3375","safety","D.J. Reed","49ers",23,2771372,692843,311372,311372,2022,"UFA"
"3376","safety","Obi Melifonwu","Patriots",25,1380000,690000,100000,100000,2020,"RFA"
"3377","safety","Marcus Allen","Steelers",23,2752636,688159,292636,292636,2022,"UFA"
"3378","safety","Siran Neal","Bills",25,2746020,686505,286020,286020,2022,"UFA"
"3379","quarterback","Chad Kanoff","Cardinals",26.0725216234198,495000,495000,0,0,2020,"ERFA"
"3380","quarterback","Danny Etling","Patriots",25,495000,495000,0,0,2020,"ERFA"
"3381","quarterback","John Wolford","Rams",24,495000,495000,0,0,2020,"ERFA"
"3382","quarterback","Josh Woodrum","Redskins",27,495000,495000,0,0,2020,"ERFA"
"3383","quarterback","Kyle Allen","Panthers",23,975000,487500,0,0,2020,"ERFA"
"3384","quarterback","Tanner Lee","Jaguars",24,480000,480000,0,0,2020,"ERFA"
